Description#String code#English#French
Language code (ISO 639-1)#%lang-code#en#fr
Language name (English)#%lang-eng#English#French
Language name (French)#%lang-fra#anglais#français
General (i18n)#%all#All#Tous
#%cancel#Cancel#Annuler
#%close#Close#Fermer
#%footer-tpgithub#Get GeoCanViz on GitHub#Obtenir GéoCanViz de GitHub
#%footer-urlgcvizrepo#https://github.com/GeoCanViz/GeoCanViz#https://github.com/GeoCanViz/GeoCanViz
#%home#Home#Accueil
#%linkopens#This link opens in a new browser window, browser tab or is downloaded, depending on your setting.#Ce lien s'ouvre dans une nouvelle fenêtre, onglet du navigateur ou est téléchargé, selon vos réglages.
#%of#of#de
#%west#W#O
#%cursor-target#url(/GeoCanViz/gcviz/images/navCursor.cur), auto#url(/GeoCanViz/gcviz/images/navCursor.cur), auto
#%github-urlgcvizrepo#https://github.com/GeoCanViz/GeoCanViz#https://github.com/GeoCanViz/GeoCanViz
#%msg-configread#Configuration file read#Fichier de configuration lu
#%msg-configerr#Configuration file error#Erreur fichier de configuration
#%main-page#Main page#Page principale
#%gisurllocate#http://geogratis.gc.ca/services/geolocation/en/locate?#http://geogratis.gc.ca/services/geolocation/fr/locate?
#%gisurlnts#http://geogratis.gc.ca/services/delimitation/en/nts?bbox=#http://geogratis.gc.ca/services/delimitation/fr/nts?bbox=
#%gisurlutm#http://geogratis.gc.ca/services/delimitation/en/utmzone?bbox=#http://geogratis.gc.ca/services/delimitation/fr/utmzone?bbox=
#%footer-tpNorth#North arrow#Flèche du nord
#%header-abouttitle#about this map #à-propos de cette carte 
#%header-aboutread#Read #Lire 
#%header-help#GeoCanViz Help#Aide pour GéoCanViz
#%header-helpdownload#Download the #Téléchargé le 
#%header-helpmanual#GeoCanViz Help Manual #Manuel d'aide pour GéoCanViz 
#%header-helptitle#Open the help manual#Ouvrir le manuel d'aide
#%header-urlhelp#../../HelpManual.pdf#../../ManuelAide.pdf
#%header-tpabout#About this map#À propos de cette carte
#%header-tphelp#Open help page#Ouvrir la page d'aide
#%header-tools#Tools#Outils
#%header-tptools#Open/Close tools panel#Ouvrir/Fermer le panneau d'outils
#%header-tpprint#Print the map#Imprimer la carte
#%header-tpinset#Show or hide insets#Afficher ou cacher les insertions
#%header-tpfullscreen#Go full screen#Allez en mode plein écran
#%header-printcopyright#© Her Majesty the Queen in Right of Canada / © Sa Majesté la Reine du chef du Canada# © Sa Majesté la Reine du chef du Canada / © Her Majesty the Queen in Right of Canada
